id,entity_type,full_name,bvn,nin,business_reg_no,address,metadata_json,created_at
32b4d296-3a59-45ce-ba49-381c046d2039,person,Temitope Onyeka,45721353098,85022992697,,"81 Ajayi Close, Asaba, Delta, Nigeria","{""occupation"": ""Entrepreneur"", ""kyc_tier"": ""tier_3"", ""risk_profile"": ""low""}",2025-10-17T07:02:06+00:00
4fb26c29-1b61-4152-8f00-cddbfb9d2eba,person,Oluwaseun Ibrahim,37831029741,15510107339,,"172 Adebisi Road, Nsukka, Enugu, Nigeria","{""occupation"": ""Doctor"", ""kyc_tier"": ""tier_2"", ""risk_profile"": ""low""}",2024-11-24T07:02:06+00:00
48b2932a-a99c-40a5-81fa-c08d2d00bda8,person,Fatima Onyeka,21302858179,84293903785,,"108 Akinsanya Street, Surulere, Lagos, Nigeria","{""occupation"": ""Entrepreneur"", ""kyc_tier"": ""tier_3"", ""risk_profile"": ""low""}",2025-05-30T07:02:06+00:00
8309d05b-5b48-4d12-b43d-78d24ab89da0,person,Kehinde Yakubu,78387190914,78755583753,,"158 Salami Road, Onitsha, Anambra, Nigeria","{""occupation"": ""Trader"", ""kyc_tier"": ""tier_3"", ""risk_profile"": ""low""}",2025-06-16T07:02:06+00:00
e4ca42e4-e408-4682-96e9-7b9782f37908,person,Sadiq Ajayi,06063686907,75671204611,,"145 Afolabi Avenue, Ughelli, Delta, Nigeria","{""occupation"": ""Trader"", ""kyc_tier"": ""tier_1"", ""risk_profile"": ""medium""}",2025-12-21T07:02:06+00:00
74f6f1bb-9092-44a4-a6ac-aec06bd62d11,person,Oluwaseun Eze,98287572840,35917925331,,"45 Nwankwo Avenue, Zaria, Kaduna, Nigeria","{""occupation"": ""Engineer"", ""kyc_tier"": ""tier_2"", ""risk_profile"": ""low""}",2025-05-19T07:02:06+00:00
db58c5ea-b309-41b1-bcf3-b6eb3fa5a218,person,Blessing Danjuma,56652776164,63823548096,,"168 Ojo Road, Emene, Enugu, Nigeria","{""occupation"": ""Accountant"", ""kyc_tier"": ""tier_2"", ""risk_profile"": ""medium""}",2025-09-15T07:02:06+00:00
ead90a26-049b-4d45-8767-5dbb178ef4ce,person,Bisi Nwachukwu,35987807058,11039123826,,"198 Ibrahim Street, Dala, Kano, Nigeria","{""occupation"": ""Trader"", ""kyc_tier"": ""tier_3"", ""risk_profile"": ""low""}",2025-06-05T07:02:06+00:00
1495a79a-a0f0-41ff-bd9b-faa4cce673ae,person,Halima Yakubu,49895904699,34901685044,,"200 Bello Avenue, Sabo, Kaduna, Nigeria","{""occupation"": ""Trader"", ""kyc_tier"": ""tier_2"", ""risk_profile"": ""low""}",2025-04-19T07:02:06+00:00
30dcd7c4-0a8f-4a08-ad02-5988a56f32a6,person,Bukola Adetola,26888097975,57619343310,,"66 Salami Avenue, Barnawa, Kaduna, Nigeria","{""occupation"": ""Trader"", ""kyc_tier"": ""tier_2"", ""risk_profile"": ""low""}",2026-02-27T07:02:06+00:00
03118e07-2254-483e-8b06-f889b4c89039,person,Yusuf Akinsanya,73158397388,79464804523,,"11 Adetola Street, Jabi, Abuja, Nigeria","{""occupation"": ""Entrepreneur"", ""kyc_tier"": ""tier_3"", ""risk_profile"": ""low""}",2024-07-02T07:02:06+00:00
